source	detector	w661			w735			w785			w808			w826			w849		
7	13	1	0.003225962	135.2443542	1	3.86345E-05	155.6959381	1	0.001543738	113.5743408	1	0.002798373	285.1073303	1	0.001372328	236.0556335	1	8.39063E-05	173.8690643
7	14	1	0.001073511	166.5830383	1	5.16392E-05	193.0422974	1	0.000549498	148.73703	1	0.000886452	319.508728	1	0.00048664	273.1417847	1	7.57269E-05	218.5400543
7	15	1	0.000457763	146.09758	1	7.6957E-06	158.7744751	1	0.00011924	125.2336273	1	0.000202512	301.9889221	1	8.51875E-05	254.1519165	1	1.22319E-05	186.1940308
7	16	1	0.000729138	148.3709869	1	0.000006308	168.348175	1	0.000215851	124.0703201	1	0.000565203	290.4900208	1	0.000205607	248.8981781	1	1.21116E-05	185.1100464
7	1	1	0.001144791	148.8704224	1	0.000036203	172.8356018	1	0.000650951	124.0968781	1	0.00106599	294.1170044	1	0.000432996	248.5518188	1	0.000052159	194.2699127
7	2	1	0.00155343	172.7960968	1	4.44406E-05	142.3024445	1	0.001237949	144.8612823	1	0.0012586	313.930481	1	0.00095843	263.3175964	1	6.80757E-05	163.2778931
7	3	1	0.000959489	173.3231354	1	3.19845E-05	183.1006165	1	0.00122575	136.5248566	1	0.000906685	311.5218201	1	0.001175167	255.5368805	1	0.000101154	186.6579437
7	4	1	0.011024501	161.2998047	1	0.000239286	172.7680817	1	0.008515626	118.3733673	1	0.010014075	292.2609558	1	0.008805743	238.9584656	1	0.00156557	174.0427246
7	5	1	0.004638613	182.4924622	1	0.000836864	155.2240601	1	0.004538624	133.1460114	1	0.004494465	310.4475708	1	0.004721275	251.5876465	1	0.000502083	161.9177856
7	6	1	0.030195274	174.9060516	1	0.009070209	111.3596039	1	0.028522624	131.2181244	1	0.02720429	310.0587158	1	0.032463815	256.7332458	1	0.010019926	154.8867493
8	9	1	0.006098107	181.1836548	1	8.51099E-05	54.50536728	1	0.008323346	159.0016785	1	0.009304741	32.45412827	1	0.011461485	-1.953763247	1	0.000180538	27.99339485
8	10	1	7.281E-07	349.0626526	1	4.027E-07	24.85738182	1	1.3218E-06	8.723433495	1	2.3241E-06	198.4356537	1	2.4177E-06	153.600708	1	1.0118E-06	38.20518494
8	11	1	5.87504E-05	347.6062927	1	7.202E-07	138.8498383	1	0.000132327	326.2780762	1	0.000177515	146.0606689	1	0.000165431	100.6051407	1	4.8797E-06	100.9735031
8	12	1	2.51088E-05	24.59893036	1	8.11E-08	111.2783127	1	3.77533E-05	355.6585693	1	5.26881E-05	174.8166656	1	4.79879E-05	130.3672943	1	1.2644E-06	96.57496643
8	13	1	6.54755E-05	43.20317459	1	1.3559E-06	89.20587158	1	3.54761E-05	33.12638855	1	0.000063571	198.1993256	1	4.26508E-05	162.7662964	1	5.8437E-06	86.19287872
